isDE?	criteria	sample	cellLine	tx	gene	entrez	isProteinCoding	FC	log2FC	shrunkLFC	pValue	qValue	dir	meanFPKM	minMeanFPKM	meanFPKMTreatment	meanFPKMControl
N	FC2	HCT116-dxRes2	HCT116	dxRes2	SERTAD4	56256	Y	44.3162475465	5.46976382204909	5.17657069465379	1.52521918420622e-09	1.28955500983126e-08	up	0.370356578671	0.00633909683007	0.734374060511421	0.00633909683007087
N	FC2	HCT116-dxRes2	HCT116	dxRes2	XDH	7498	Y	44.0036954168	5.45955278081022	4.73576023868362	3.34511158607604e-05	0.000152414995579534	up	0.076349825176	0.0042937649372	0.148405885414806	0.00429376493719553
N	FC2	HCT116-dxRes2	HCT116	dxRes2	HAS2	3037	Y	41.7766784538	5.3846258872257	5.03690480140833	0.000214872414592777	0.00083521295559989	up	0.0350368884539	0	0.0700737769078483	0
Y	FC2	HCT116-dxRes2	HCT116	dxRes2	TM4SF18	116441	Y	39.0459205021	5.28709991908577	5.25929364356406	1.20249162379754e-82	2.39431113443387e-80	up	3.02835827671	0.14154942634	5.91516712707149	0.141549426340143
N	FC2	HCT116-dxRes2	HCT116	dxRes2	COL15A1	1306	Y	32.380897042	5.01707104779433	4.5046618848703	1.11989446971582e-05	5.57985580484933e-05	up	0.116444614311	0.00906126870102	0.223827959921861	0.00906126870101846
N	FC2	HCT116-dxRes2	HCT116	dxRes2	SLC26A9	115019	Y	28.9926650513	4.85761604917398	3.92491529901091	0.000421788157749966	0.00153921272962181	up	0.0495328042736	0	0.0990656085472905	0
N	FC2	HCT116-dxRes2	HCT116	dxRes2	C9orf135	138255	Y	28.4857277316	4.83216735843947	0.214416134571401	0.0032778423888128	0.00979785164409815	up	0.312184612691	0.117098754195	0.507270471187058	0.1170987541945
N	FC2	HCT116-dxRes2	HCT116	dxRes2	VWA8-AS1	100507240	N	25.9568521306	4.69804352864956	0.0274845350091374	0.184678172412859	0.298048491222334	up	0.0335191367693	0	0.0670382735386436	0
N	FC2	HCT116-dxRes2	HCT116	dxRes2	VSTM2B	342865	Y	19.8353072767	4.30999884190987	0.150072533244379	0.0138242010660208	0.0346999210180657	up	0.0543685241424	0	0.108737048284803	0
N	FC2	HCT116-dxRes2	HCT116	dxRes2	AKR1B10	57016	Y	19.5872556083	4.29184336907713	2.83723899518581	0.00380217505765434	0.0111867097327994	up	0.150367071191	0.0498658181896	0.250868324192623	0.04986581818956
Y	FC2	HCT116-dxRes2	HCT116	dxRes2	CCK	885	Y	18.3298993162	4.19612695624474	3.38270588145	0.000832990728252273	0.00284919675978751	up	0.713620941992	0.146075584945	1.28116629903794	0.146075584945315
N	FC2	HCT116-dxRes2	HCT116	dxRes2	STPG2	285555	Y	17.8538039301	4.15815958238666	0.128344537248902	0.0226953770795724	0.0528375711050144	up	0.0594493114622	0.0428150489516	0.0760835739728249	0.042815048951625
Y	FC2	HCT116-dxRes2	HCT116	dxRes2	CCL26	10344	Y	16.5803355507	4.0514012990964	3.52950745121781	5.74432473849024e-05	0.00025014037386389	up	1.36194791446	0.087014157243	2.63688167168246	0.08701415724303
N	FC2	HCT116-dxRes2	HCT116	dxRes2	SCARNA3	677679	N	16.4314966043	4.03839198389695	0.0290766037862318	0.235525347009558	0.361642881484022	up	0	0	0	0
N	FC2	HCT116-dxRes2	HCT116	dxRes2	PRTFDC1	56952	Y	16.3605063942	4.03214549849172	0.12702923777994	0.0261760068752024	0.059650588485708	up	0.0419987812822	0	0.0839975625644076	0
N	FC2	HCT116-dxRes2	HCT116	dxRes2	ARL11	115761	Y	16.20903272	4.01872609495635	0.117530042409896	0.0310880206514399	0.0690464418511973	up	0.00847148684593	0	0.0169429736918501	0
N	FC2	HCT116-dxRes2	HCT116	dxRes2	LINC00525	84847	N	14.4562646305	3.85362291583497	0.110427580946713	0.0407792458465974	NA	up	0.0313099665436	0	0.0626199330871262	0
